image,channel,param,quality,repeat,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_geometric,bec,0.1,10,1,15.681782866744046,0.6965403985436502,32.88859150217464,0.2043100999999865,0.0066795999999840205,0.006043299999987539,0.006189899999981208,0.934246700000017,0.10799709999997731,0.10053507486979167,0.005436600869856139,47824,95660
synthetic_gradient,bec,0.1,10,1,15.948537357173503,0.6697585543195004,35.08351177730193,0.19711960000000772,0.004416699999978846,0.0048989000000005944,0.004903899999987971,0.8729390999999964,0.10120799999998553,0.10089666193181818,0.004795681655960029,44832,89676
synthetic_noise,bec,0.1,10,1,8.873527873512144,0.24149489317188255,10.870728740462235,0.21660539999999173,0.016489300000046114,0.01983380000001489,0.020987899999965975,2.853189299999997,0.2194145000000276,0.09998575846354167,0.005460024328209665,144688,289388
synthetic_nature,bec,0.1,50,1,13.459910847528295,0.5664261301163718,15.718580108730412,0.21117040000001452,0.00983259999998154,0.013687399999980698,0.013022299999988718,1.9527889999999957,0.2449355999999625,0.1001953125,0.005706347937320115,100064,200140
synthetic_geometric,bec,0.1,50,1,14.682215257471736,0.7220179726163464,24.736789129340714,0.2019346000000155,0.007078199999966728,0.007739000000015039,0.007503199999973731,1.2418224999999552,0.23688069999997197,0.10045623779296875,0.006070709612481127,63584,127180
synthetic_gradient,bec,0.1,50,1,16.685911842396976,0.7683130701863495,23.982434740180533,0.20691820000001826,0.006320000000016535,0.007965500000011616,0.00897149999997282,1.2608123000000546,0.2570774000000142,0.10037051930147059,0.005168943644791413,65584,131180
synthetic_noise,bec,0.1,50,1,7.148637311060057,0.26311608231446065,2.0039343192914147,0.3604047000000037,0.11173539999998638,0.1283894000000032,0.11138850000003231,15.71617580000003,0.35737840000001597,0.09998639424641927,0.005189275412542936,784888,1569788
synthetic_nature,bec,0.1,90,1,14.760105119850405,0.48880143492953526,8.404565468302483,0.19969170000001668,0.017336699999987104,0.022539400000027854,0.021989100000041617,3.456359700000064,0.5060128000000077,0.10000477666440218,0.005241952720899414,187144,374300
synthetic_geometric,bec,0.1,90,1,14.79089318340073,0.6707850686913307,14.708461135632527,0.17946960000000445,0.010107699999991837,0.013624300000003586,0.011958300000003419,2.0081256999999937,0.4166693999999893,0.09996202256944445,0.0056669409740405475,106936,213884
synthetic_gradient,bec,0.1,90,1,16.988835323804203,0.660562246552848,16.096937940068774,0.18448680000000195,0.00941920000002483,0.011456899999984671,0.01150969999997642,1.8865399000000025,0.4584507000000144,0.10027567545572917,0.005567381693139021,97712,195436
synthetic_noise,bec,0.1,90,1,6.538745889985362,0.13632469269330094,0.9429188048534842,0.4380396000000246,0.17783130000003666,0.21160840000004555,0.2136365000000069,31.953190999999947,0.79408090000004,0.10018651625689338,0.0056448131984077506,1668080,3336172
synthetic_nature,bec,0.2,10,1,10.144798323636717,0.28500575963050334,28.887452248016455,0.17646010000004253,0.004979999999989104,0.006664300000011281,0.006407200000012381,1.0127512999999908,0.08792280000000119,0.20218331473214285,0.021929180135174847,54448,108908
synthetic_geometric,bec,0.2,10,1,10.202089823380973,0.3617035980277734,32.88859150217464,0.1697846999999797,0.004051200000048993,0.005577500000015334,0.005758099999980004,0.8712179000000333,0.08841150000000653,0.201629638671875,0.02300100368016059,47824,95660
synthetic_gradient,bec,0.2,10,1,10.674125341874547,0.33481155770861765,35.08351177730193,0.17704880000002277,0.0038845000000264918,0.00546529999996892,0.005422399999986283,0.8099609999999302,0.0887124000000199,0.20176003196022727,0.0208110278372591,44832,89676
synthetic_noise,bec,0.2,10,1,6.854896723336376,0.10168803732016896,10.870728740462235,0.1895943000000102,0.014139800000009473,0.0184174999999982,0.018885000000011587,2.636809600000049,0.19165209999999888,0.20036146375868055,0.021556728961627778,144688,289388
synthetic_nature,bec,0.2,50,1,8.97600155737251,0.1811182126143985,15.718580108730412,0.18212879999998677,0.009585800000024847,0.012571399999956157,0.012788000000000466,1.861343799999986,0.20737829999995938,0.200927734375,0.0228054045410937,100064,200140
synthetic_geometric,bec,0.2,50,1,10.101915930797976,0.42325275307381993,24.736789129340714,0.17936269999995602,0.006059800000002724,0.007689299999981358,0.008071500000028209,1.1578197999999134,0.20264480000003005,0.201324462890625,0.024046930045294415,63584,127180
synthetic_gradient,bec,0.2,50,1,11.904057180832321,0.43850689991245034,23.982434740180533,0.17369090000005372,0.005945499999995718,0.0072210999999811065,0.007556399999998575,1.2019617999999923,0.22938590000001113,0.20127958409926472,0.02137716516223469,65584,131180
synthetic_noise,bec,0.2,50,1,5.998993999146563,0.0665805024889202,2.0039343192914147,0.30566239999996014,0.07917850000001181,0.10228009999997312,0.1018359999999916,14.514487099999997,0.35674799999998186,0.19985071818033853,0.021132951452946153,784888,1569788
synthetic_nature,bec,0.2,90,1,10.410006563888064,0.15562005002818527,8.404565468302483,0.18794120000001158,0.019446700000003148,0.024027399999965837,0.024999100000002272,3.4446146999999883,0.5093605000000139,0.20043149201766305,0.0219777283802847,187144,374300
synthetic_geometric,bec,0.2,90,1,11.249661381301328,0.35225695488385583,14.708461135632527,0.1835040999999933,0.010284699999999702,0.012910900000008496,0.015240500000004431,1.962022300000001,0.4111347999999566,0.20076045283564814,0.02267711528390813,106936,213884
synthetic_gradient,bec,0.2,90,1,11.574657158407575,0.2626916707376367,16.096937940068774,0.1834856999999488,0.010063000000002376,0.01126219999997602,0.011525000000006003,1.7930223000000183,0.46534059999999045,0.20107523600260416,0.021993204519403963,97712,195436
synthetic_noise,bec,0.2,90,1,6.564763586812208,0.05683665340880593,0.9429188048534842,0.43435139999996863,0.17023020000004863,0.21116289999997662,0.2260063999999602,40.090931100000034,1.4009766999999442,0.2000902961282169,0.02266438060524675,1668080,3336172
